Region,County,District,District Name,Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
12,HILL COUNTY,109901,ABBOTT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,24.25,1273976,52540
17,HALE COUNTY,95901,ABERNATHY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,67.39,3245017,48156
14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1077.4,57444183,53317
12,BELL COUNTY,14901,ACADEMY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,118.84,5813706,48921
16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.22,831142,48279
2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,35.08,1800875,51335
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,353.02,20793993,58903
7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,79.01,3972832,50282
14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,43.69,2330574,53347
4,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,4148.49,255637406,61622
11,PARKER COUNTY,184907,ALEDO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,385.94,23150447,59985
2,JIM WELLS COUNTY,125901,ALICE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,294.85,15120997,51284
4,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,3252.89,203728589,62630
10,COLLIN COUNTY,43901,ALLEN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1357.99,82419350,60692
18,BREWSTER COUNTY,22901,ALPINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,82.52,4082736,49476
7,CHEROKEE COUNTY,37901,ALTO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,57.57,3034570,52711
11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,229.47,13715622,59771
4,BRAZORIA COUNTY,20901,ALVIN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1771.37,108046638,60996
11,WISE COUNTY,249901,ALVORD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,60.24,3181788,52822
16,POTTER COUNTY,188901,AMARILLO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2223.2,127618374,57403
17,LAMB COUNTY,140901,AMHERST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.0,816696,42984
4,CHAMBERS COUNTY,36901,ANAHUAC ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,94.45,5219001,55255
6,GRIMES COUNTY,93901,ANDERSON-SHIRO CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,68.75,3561353,51804
18,ANDREWS COUNTY,2901,ANDREWS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,278.99,17223926,61737
4,BRAZORIA COUNTY,20902,ANGLETON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,422.47,25322046,59938
10,COLLIN COUNTY,43902,ANNA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,257.83,13996651,54287
14,JONES COUNTY,127901,ANSON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,71.82,3621611,50424
19,EL PASO COUNTY,71906,ANTHONY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,58.0,3298012,56860
17,HOCKLEY COUNTY,110901,ANTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,21.21,955183,45026
6,TRINITY COUNTY,228905,APPLE SPRINGS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,18.42,924796,50207
12,HILL COUNTY,109912,AQUILLA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,27.73,1315260,47427
2,ARANSAS COUNTY,4901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,205.15,10783797,52566
2,SAN PATRICIO COUNTY,205901,ARANSAS PASS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,114.36,6283084,54942
9,ARCHER COUNTY,5901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,47.08,2572666,54648
11,DENTON COUNTY,61910,ARGYLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,235.04,14344301,61029
11,TARRANT COUNTY,220901,ARLINGTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,4039.62,237825471,58873
7,SMITH COUNTY,212901,ARP ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,78.52,3894062,49592
14,STONEWALL COUNTY,217901,ASPERMONT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,20.45,886888,43379
10,HENDERSON COUNTY,107901,ATHENS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,197.14,10147813,51474
8,CASS COUNTY,34901,ATLANTA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,130.29,6208523,47653
11,DENTON COUNTY,61907,AUBREY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,158.33,8637411,54552
13,TRAVIS COUNTY,227901,AUSTIN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,5477.34,299650617,54707
3,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.49,943775,53950
10,ELLIS COUNTY,70901,AVALON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,31.43,1621797,51598
8,RED RIVER COUNTY,194902,AVERY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,33.5,1675081,50003
8,CASS COUNTY,34902,AVINGER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.89,913394,51063
12,MCLENNAN COUNTY,161918,AXTELL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,74.5,3967279,53249
11,TARRANT COUNTY,220915,AZLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,430.54,24824293,57659
14,CALLAHAN COUNTY,30903,BAIRD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,33.23,1585188,47703
