PEIMS DATA FOR SCHOOL YEAR 2019-2020,,,,,,,,,
NEW GRADE LEVEL CODES WERE INTRODUCED IN THE 2013-2014 SCHOOL YEAR.,,,,,,,,,
THESE CODES AS WELL AS SOME OF THE PREVIOUS YEARS' COMBINED GRADE CODES ARE REFLECTED IN SOME REPORTS.,,,,,,,,,
USERS WILL NEED TO LOOK AT ALL GRADE-LEVEL CATEGORIES TO DETERMINE ACCURATE TOTAL COUNTS.,,,,,,,,,
Region,County,District,District Name, Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,PRE-KINDERGARTEN,5,281714,56343
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,KINDERGARTEN,23.92,1392185,58202
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ELEMENTARY (GRADES 1-6),22.06,1410648,63958
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,MIDDLE SCHOOL (GRADES 6 - 8),14.8,858663,58030
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ALL GRADE LEVELS,23.21,1326545,57162
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 1,18.04,1037220,57482
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 2,18.33,1054331,57512
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 3,18.31,1058307,57799
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 4,18.17,1052867,57933
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 5,20.33,1260078,61977
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 6,17.46,1015483,58176
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 7,15.09,879635,58307
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 8,13.49,789893,58560
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADES 9-12,124.82,7376424,59097
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,353.02,20793993,58903
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,ATHLETIC TRAINER,0.89,52033,58274
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,COMMUNICATIONS PROFESSIONAL,1,86403,86403
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,COUNSELOR,13,869573,66890
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,LEA/CMP INFO TECH PROFESSIONAL,1,97343,97343
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,LIBRARIAN,4,248424,62106
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,LSSP/PSYCHOLOGIST,4.1,281621,68688
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OCCUPATIONAL THERAPIST,1,66852,66852
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,OTH CAMP EXEMPT PROFESSNAL AUX,2.57,199702,77663
20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,SCHOOL NURSE,4.5,248682,55263
