PEIMS DATA FOR SCHOOL YEAR 2019-2020,,,,,,,,,
NEW GRADE LEVEL CODES WERE INTRODUCED IN THE 2013-2014 SCHOOL YEAR.,,,,,,,,,
THESE CODES AS WELL AS SOME OF THE PREVIOUS YEARS' COMBINED GRADE CODES ARE REFLECTED IN SOME REPORTS.,,,,,,,,,
USERS WILL NEED TO LOOK AT ALL GRADE-LEVEL CATEGORIES TO DETERMINE ACCURATE TOTAL COUNTS.,,,,,,,,,
Region,County,District,District Name, Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,PRE-KINDERGARTEN,13.99,764515,54650
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,KINDERGARTEN,111.95,6180582,55207
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ELEMENTARY (GRADES 1-6),15.26,850405,55737
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,MIDDLE SCHOOL (GRADES 6 - 8),68.57,3777298,55091
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ALL GRADE LEVELS,115.68,6597977,57038
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 1,102.8,5678751,55242
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 2,108.48,6000683,55316
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 3,108.45,5982320,55163
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 4,112.78,6175357,54757
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 5,112.42,6309498,56124
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 6,75.66,4059795,53655
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 7,86.39,4719204,54626
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 8,66.04,3648547,55245
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADES 9-12,476.42,27442367,57601
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1574.89,88187299,55996
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,ATHLETIC TRAINER,1.94,110167,56813
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,ATHLETICS - OTHR THAN ATHL DIR,2.95,321101,108999
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,AUDIOLOGIST,3,152736,50912
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,BUSINESS SERVICES PROFESSIONAL,8,599320,74915
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,COMMUNICATIONS PROFESSIONAL,3,162529,54176
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,COUNSELOR,45.49,3121934,68625
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,CUSTODIAL,1,51000,51000
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,EDUCATIONAL DIAGNOSTICIAN,6,390859,65143
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,FOOD SERVICE PROFESSIONAL,3,147844,49281
20,COMAL COUNTY,46902,COMAL ISD,TRADITIONAL ISD/CSD,SUPPORT STAFF,INSTRUCT MATERIALS COORDINATOR,0.64,28743,45165
