PEIMS DATA FOR SCHOOL YEAR 2019-2020,,,,,,,,,
NEW GRADE LEVEL CODES WERE INTRODUCED IN THE 2013-2014 SCHOOL YEAR.,,,,,,,,,
THESE CODES AS WELL AS SOME OF THE PREVIOUS YEARS' COMBINED GRADE CODES ARE REFLECTED IN SOME REPORTS.,,,,,,,,,
USERS WILL NEED TO LOOK AT ALL GRADE-LEVEL CATEGORIES TO DETERMINE ACCURATE TOTAL COUNTS.,,,,,,,,,
Region,County,District,District Name, Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,PRE-KINDERGARTEN,6.02,324559,53939
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,KINDERGARTEN,37.75,2116162,56062
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,KINDERGARTEN/ELEMENTARY (K-6),2.85,158350,55638
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ELEMENTARY (GRADES 1-6),5.87,333219,56748
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,MIDDLE SCHOOL (GRADES 6 - 8),33.78,1862162,55120
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,ALL GRADE LEVELS,57.88,3364575,58128
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 1,36.35,1996728,54937
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 2,40.53,2224082,54870
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 3,39.58,2197207,55517
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 4,40.59,2269355,55912
20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,GRADE 5,45.4,2506608,55218
